"Indicateurs";"Sexe";"Âge";"Forme d'emploi";"Statut d'activité au sens du BIT";"Profession et catégorie socioprofessionnelle (PCS)";"Diplôme";"Statut d'immigration";"Temps de travail";"Activité économique";"Composante du sous-emploi";"Durée du chômage";"Composante du halo du chômage";"Durée de chômage depuis la formation initiale";"Statut de l'observation";"Statut de confidentialité";"Quantité d'unités (en puissance de 10)";"Décimales";"Fréquence";Période;Valeur
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";2001;56,5
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";2002;56,7
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";2003;57
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";2004;57
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";2005;56,9
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";2006;56,8
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";2007;56,9
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";2008;57
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";2009;57,2
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";2010;57,1
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";2011;56,9
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";2012;57,1
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";2013;57,1
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";2014;56,8
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";2015;56,7
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";2016;56,5
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";2017;56,3
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";2018;56,2
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";2019;55,9
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";2020;55,2
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";2021;55,9
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";2022;56,2
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";2023;56,3
